Year,Level,Rank,Company,Headquarters,Title Name,Compensation
2018,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),1,Lyft,"San Francisco, CA",T3,"$236,000"
2018,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),2,Airbnb,"San Francisco, CA",L3,"$232,000"
2018,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),3,LinkedIn,"Sunnyvale, CA",Software Engineer,"$210,000"
2018,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),4,Google,"Mountain View, CA",L3,"$185,000"
2018,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),5,Twitter,"San Francisco, CA",SWE,"$180,000"
2018,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),5,Dropbox,"San Francisco, CA",IC1,"$180,000"
2018,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),1,Lyft,"San Francisco, CA",T4,"$290,000"
2018,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),2,LinkedIn,"Sunnyvale, CA",Senior Software Engineer,"$280,000"
2018,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),3,Airbnb,"San Francisco, CA",L4,"$275,000"
2018,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),4,Google,"Mountain View, CA",L4,"$260,000"
2018,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),5,Dropbox,"San Francisco, CA",IC2,"$255,000"
2018,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),6,Facebook,"Menlo Park, CA",E4,"$250,000"
2018,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),1,LinkedIn,"Sunnyvale, CA",Staff Software Engineer,"$430,000"
2018,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),2,Google,"Mountain View, CA",L5,"$407,000"
2018,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),3,Netflix,"Los Gatos, CA",Senior Software Engineer,"$400,000"
2018,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),3,Airbnb,"San Francisco, CA",L5,"$400,000"
2018,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),5,Facebook,"Menlo Park, CA",E5,"$392,000"
2018,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),6,Uber,"San Francisco, CA",Senior Software Engineer 1,"$380,000"
2019,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),1,Lyft,"San Francisco, CA",T3,"$234,000"
2019,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),2,Stripe,"San Francisco, CA",L1,"$223,000"
2019,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),3,Airbnb,"San Francisco, CA",L3,"$207,000"
2019,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),4,LinkedIn,"Sunnyvale, CA",Software Engineer,"$192,000"
2019,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),5,Oracle,"Redwood City, CA",IC-2,"$175,000"
2019,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),1,Airbnb,"San Francisco, CA",L4,"$334,000"
2019,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),2,LinkedIn,"Sunnyvale, CA",Senior Software Engineer,"$300,000"
2019,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),3,Lyft,"San Francisco, CA",T4,"$295,000"
2019,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),4,Stripe,"San Francisco, CA",L2,"$291,000"
2019,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),5,Snap Inc.,"Santa Monica, CA",L2 / L3,"$287,000"
2019,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),1,Pinterest,"San Francisco, CA",L5,"$505,000"
2019,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),2,Stripe,"San Francisco, CA",L3,"$443,000"
2019,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),3,Airbnb,"San Francisco, CA",L5,"$434,000"
2019,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),4,Netflix,"Los Gatos, CA",Senior Software Engineer,"$430,000"
2019,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),5,LinkedIn,"Sunnyvale, CA",Staff Software Engineer,"$423,000"
2019,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),1,Snap Inc.,"Santa Monica, CA",L5,"$600,000"
2019,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),2,Lyft,"San Francisco, CA",T6,"$550,000"
2019,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),3,Airbnb,"San Francisco, CA",L6,"$530,000"
2019,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),4,Facebook,"Menlo Park, CA",E6,"$520,000"
2019,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),5,Amazon,"Seattle, WA",Principal SDE,"$500,000"
2019,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),1,Facebook,"Menlo Park, CA",E7,"$950,000"
2019,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),2,Google,"Mountain View, CA",L7,"$710,000"
2019,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),3,Pinterest,"San Francisco, CA",L6,"$575,000"
2019,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),4,Dropbox,"San Francisco, CA",IC5,"$568,000"
2019,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),5,Salesforce,"San Francisco, CA",Architect,"$533,000"
2020,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),1,Lyft,"San Francisco, CA",T3,"$230,000"
2020,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),2,Roblox,"San Mateo, CA",IC1,"$222,000"
2020,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),3,Stripe,"San Francisco, CA",L1,"$213,000"
2020,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),3,Airbnb,"San Francisco, CA",L3,"$213,000"
2020,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),4,LinkedIn,"Sunnyvale, CA",Software Engineer,"$200,000"
2020,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),5,Doordash,"San Francisco, CA",E3,"$199,000"
2020,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),6,Robinhood,"Menlo Park, CA",L1,"$197,000"
2020,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),7,Twitter,"San Francisco, CA",Software Engineer,"$195,000"
2020,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),1,Airbnb,"San Francisco, CA",L4,"$295,000"
2020,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),2,Pinterest,"San Francisco, CA",L4,"$294,000"
2020,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),3,Box,"Redwood City, CA",Senior Software Engineer,"$290,000"
2020,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),3,Lyft,"San Francisco, CA",T4,"$290,000"
2020,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),3,LinkedIn,"Sunnyvale, CA",Senior Software Engineer,"$290,000"
2020,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),4,Stripe,"San Francisco, CA",L2,"$287,000"
2020,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),5,Databricks,"San Francisco, CA",L4,"$278,000"
2020,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),6,Doordash,"San Francisco, CA",E4,"$265,000"
2020,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),7,ByteDance,"Beijing, China",2-1,"$260,000"
2020,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),1,LinkedIn,"Sunnyvale, CA",Staff Software Engineer,"$461,000"
2020,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),2,Netflix,"Los Gatos, CA",Senior Software Engineer,"$455,000"
2020,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),3,Pinterest,"San Francisco, CA",L5,"$450,000"
2020,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),4,Stripe,"San Francisco, CA",L3,"$420,000"
2020,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),5,Airbnb,"San Francisco, CA",L5,"$418,000"
2020,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),6,Robinhood,"Menlo Park, CA",L3,"$412,000"
2020,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),7,ByteDance,"Beijing, China",2-2,"$400,000"
2020,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),1,Stripe,"San Francisco, CA",L4,"$590,000"
2020,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),2,Facebook,"Menlo Park, CA",E6,"$563,000"
2020,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),3,Airbnb,"San Francisco, CA",L6,"$550,000"
2020,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),4,Amazon,"Seattle, WA",Principal SDE,"$540,000"
2020,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),5,Snap Inc.,"Santa Monica, CA",L5,"$538,000"
2020,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),6,NVIDIA,"Santa Clara, CA",IC6,"$511,000"
2020,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),7,ByteDance,"Beijing, China",3-1,"$493,000"
2020,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),1,Facebook,"Menlo Park, CA",E7,"$895,000"
2020,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),2,Snap Inc.,"Santa Monica, CA",L7,"$830,000"
2020,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),3,Google,"Mountain View, CA",L7,"$758,000"
2020,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),4,Pinterest,"San Francisco, CA",L6,"$590,000"
2020,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),5,Salesforce,"San Francisco, CA",Architect,"$525,000"
2021,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),1,Two Sigma,"New York, NY",L1,"$250,000"
2021,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),2,Box,"Redwood City, CA",Software Engineer,"$236,000"
2021,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),3,Roblox,"San Mateo, CA",IC1,"$233,000"
2021,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),4,Stripe,"San Francisco, CA",L1,"$227,000"
2021,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),5,Netflix,"Los Gatos, CA",L1,"$226,000"
2021,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),6,LinkedIn,"Sunnyvale, CA",Software Engineer,"$215,000"
2021,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),6,Lyft,"San Francisco, CA",T3,"$215,000"
2021,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),7,Robinhood,"Menlo Park, CA",L1,"$207,000"
2021,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),1,Roblox,"San Mateo, CA",IC2 / IC3,"$335,000"
2021,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),2,Cruise,"San Francisco, CA",L4,"$333,000"
2021,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),3,Instacart,"San Francisco, CA",L4,"$308,000"
2021,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),4,Lyft,"San Francisco, CA",T4,"$300,000"
2021,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),4,Box,"Redwood City, CA",Senior Software Engineer,"$300,000"
2021,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),5,Stripe,"San Francisco, CA",L2,"$298,000"
2021,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),6,Robinhood,"Menlo Park, CA",L2,"$296,000"
2021,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),7,Doordash,"San Francisco, CA",E4,"$287,000"
2021,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),1,Netflix,"Los Gatos, CA",Senior Software Engineer,"$504,000"
2021,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),2,Stripe,"San Francisco, CA",L3,"$452,000"
2021,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),3,Pinterest,"San Francisco, CA",L5,"$443,000"
2021,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),4,Robinhood,"Menlo Park, CA",L3,"$434,000"
2021,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),5,ByteDance,"Beijing, China",2-2,"$430,000"
2021,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),5,LinkedIn,"Sunnyvale, CA",Staff Software Engineer,"$430,000"
2021,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),6,Lyft,"San Francisco, CA",T5,"$416,000"
2021,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),7,Airbnb,"San Francisco, CA",L5,"$415,000"
2021,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),1,LinkedIn,"Sunnyvale, CA",Senior Staff Software Engineer,"$646,000"
2021,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),2,Stripe,"San Francisco, CA",L4,"$608,000"
2021,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),3,Instacart,"San Francisco, CA",L7,"$605,000"
2021,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),4,Roblox,"San Mateo, CA",IC5,"$590,000"
2021,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),5,Facebook,"Menlo Park, CA",E6,"$570,000"
2021,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),6,Airbnb,"San Francisco, CA",L6,"$562,000"
2021,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),7,Doordash,"San Francisco, CA",E6,"$550,000"
2021,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),7,Amazon,"Seattle, WA",Principal SDE,"$550,000"
2021,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),7,Cruise,"San Francisco, CA",L6,"$550,000"
2021,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),1,Roblox,"San Mateo, CA",TD1,"$1,200,000"
2021,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),2,Facebook,"Menlo Park, CA",E7,"$940,000"
2021,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),3,Lyft,"San Francisco, CA",T7,"$823,000"
2021,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),4,Google,"Mountain View, CA",L7,"$800,000"
2021,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),5,Pinterest,"San Francisco, CA",L6,"$750,000"
2021,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),6,Apple,"Cupertino, CA",ICT6,"$750,000"
2021,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),7,Microsoft,"Redmond, WA",Partner,"$650,000"
2022,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),1,Two Sigma,"New York, NY",L1,"$274,000"
2022,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),2,Stripe,"San Francisco, CA",L1,"$266,000"
2022,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),3,Cruise,"San Francisco, CA",L3,"$238,000"
2022,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),4,Roblox,"San Mateo, CA",IC1,"$234,000"
2022,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),5,LinkedIn,"Sunnyvale, CA",Software Engineer,"$226,000"
2022,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),6,Databricks,"San Francisco, CA",L3,"$221,000"
2022,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),7,Waymo,"Mountain View, CA",L3,"$220,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),1,Databricks,"San Francisco, CA",L4,"$443,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),2,Cruise,"San Francisco, CA",L4,"$361,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),3,Roblox,"San Mateo, CA",IC2 / IC3,"$354,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),4,Snowflake,"Bozeman, MT",IC2,"$330,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),4,Two Sigma,"New York, NY",L2 / L3,"$330,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),5,ByteDance,"Beijing, China",2-1,"$323,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),6,Stripe,"San Francisco, CA",L2,"$320,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),7,Airbnb,"San Francisco, CA",G8,"$318,000"
2022,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),1,Databricks,"San Francisco, CA",L5,"$552,000"
2022,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),2,Cruise,"San Francisco, CA",L5,"$551,000"
2022,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),3,Netflix,"Los Gatos, CA",L5,"$550,000"
2022,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),4,Stripe,"San Francisco, CA",L3,"$488,000"
2022,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),5,Snowflake,"Bozeman, MT",IC3,"$466,000"
2022,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),6,Instacart,"San Francisco, CA",L6,"$465,000"
2022,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),7,LinkedIn,"Sunnyvale, CA",Staff Software Engineer,"$458,000"
2022,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),1,Stripe,"San Francisco, CA",L4,"$688,000"
2022,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),2,Coinbase,Remote-first,IC6,"$673,000"
2022,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),3,Pinterest,"San Francisco, CA",L6,"$650,000"
2022,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),4,Airbnb,"San Francisco, CA",G10,"$601,000"
2022,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),5,Waymo,"Mountain View, CA",L6,"$590,000"
2022,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),6,Facebook,"Menlo Park, CA",E6,"$567,000"
2022,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),7,ByteDance,"Beijing, China",3-1,"$564,000"
2022,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),1,Facebook,"Menlo Park, CA",E7,"$1,044,000"
2022,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),2,Stripe,"San Francisco, CA",L5,"$900,000"
2022,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),3,Airbnb,"San Francisco, CA",G11,"$796,000"
2022,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),4,Apple,"Cupertino, CA",ICT6,"$752,000"
2022,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),5,Netflix,"Los Gatos, CA",L6,"$725,000"
2022,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),6,Twitter,"San Francisco, CA",Senior Staff SWE,"$700,000"
2022,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),7,Snap Inc.,"Santa Monica, CA",L6,"$690,000"
